District,Latitude,Longitude,Population in 2001,Population in 2011
Deoria,26.42218857,83.82440707,2714179,3100946
Etah,27.59115531,78.70021858,1531645,1774480
Etawah,26.7881767,79.07621806,1338871,1581810
Faizabad,26.60589185,82.00783531,2088928,2470996
Farrukhabad,27.45063298,79.44062846,1570408,1885204
Fatehpur,25.8374362,80.85416203,2308384,2632733
Firozabad,27.20963993,78.42660625,2081752,2498156
Gautam Buddha Nagar,28.39331104,77.52462468,1105292,1648115
Ghaziabad,28.74997309,77.67441879,3314070,4681645
Ghazipur,25.62472478,83.53608546,3037582,3620268
Gonda,27.15721555,82.0226888,2765586,3433919
Gorakhpur,26.63315887,83.35495604,3769456,4440895
Hamirpur,25.73815838,79.8261948,993792,1104285
Hardoi,27.33740909,80.26411768,3398306,4092845
Jalaun,26.06795459,79.36686911,1454452,1689974
Jaunpur,25.70141281,82.54315352,3911679,4494204
Jhansi,25.45581535,78.89954581,1744931,1998603
Kannauj,26.99398862,79.6443794,1388923,1656616
Kanpur Dehat,26.43047641,79.98710083,1563336,1796184
Kaushambi,25.53587532,81.41811282,1291993,1599596
Kushinagar,26.89253068,83.92261542,2891667,3564544
Lalitpur,24.58877161,78.60082331,977734,1221592
Lucknow,26.83823359,80.89706027,3647834,4589838
Mahoba,25.3452967,79.67863003,758379,875958
Mainpuri,27.17386862,79.03501851,1596718,1868529
Mathura,27.59390433,77.62153417,2074516,2547184
Mau,26.01082204,83.50582654,1854950,2205968
Meerut,29.02957626,77.80611006,2973877,3443689
Mirzapur,25.10207959,82.60126629,2074709,2496970
Moradabad,28.85177041,78.73580193,3810983,4772006
Muzaffarnagar,29.47050798,77.64017848,3543362,4143512
Pilibhit,28.52024175,79.90103974,1728108,2031007
Pratapgarh,25.86484273,81.93530049,2731174,3209141
Rae Bareli,26.25390284,81.22260463,2872335,3405559
Rampur,28.83244727,79.10977333,1923739,2335819
Saharanpur,30.03381165,77.59905148,2896863,3466382
Sant Kabir Nagar,26.79159652,83.03877643,1420226,1715183
Shahjahanpur,27.99138935,79.83022753,2464930,3006538
Sitapur,27.50199596,80.85288881,3619661,4483992
Sonbhadra,24.46693269,83.06816325,1504852,1862559
Sultanpur,26.28463864,82.05710457,3214832,3797117
Unnao,26.63163991,80.63677329,2700324,3108367
Varanasi,25.36057089,82.82529667,3138671,3676841
Bankura,23.08128089,87.12640054,3192695,3596674
Birbhum,24.06389343,87.65153089,3015422,3502404
Dakshin Dinajpur,25.34209436,88.6982168,1503178,1676276
Jalpaiguri,26.62642031,89.04154375,3401173,3872846
Kolkata,22.55058148,88.35276481,4572876,4496694
Maldah,25.08026803,88.17191685,3290468,3988845
Murshidabad,24.25950655,88.1681686,5866569,7103807
Nadia,23.56410971,88.58293035,4604827,5167600
Uttar Dinajpur,26.04461917,88.23595232,2441794,3007134
